# source=kernel stair detail
# input_file=kernel-sweep-wide-count10.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_55,0.55,13,3978,4135,49.725,51.6875,158,0.415306122,0.011224488,-1,0.99371069,-0.00910221
0_55,0.55,14,4136,4292,51.7,53.65,157,0.404081634,0.0112244935,-1,0.99367089,-0.00916
0_55,0.55,15,4293,4449,53.6625,55.6125,157,0.3928571405,0.011224488,0,1,0
0_55,0.55,16,4450,4602,55.625,57.525,153,0.3816326525,0.011224488,-4,0.97452229,-0.03723291
0_55,0.55,17,4603,4749,57.5375,59.3625,147,0.3704081645,0.0112244935,-6,0.96078431,-0.0577155
0_55,0.55,18,4750,4893,59.375,61.1625,144,0.359183671,0.011224488,-3,0.97959184,-0.02974734
0_55,0.55,19,4894,5033,61.175,62.9125,140,0.347959183,0.011224488,-4,0.97222222,-0.04064198
0_55,0.55,20,5034,5169,62.925,64.6125,136,0.336734695,0.0112244935,-4,0.97142857,-0.04182018
0_55,0.55,21,5170,5302,64.625,66.275,133,0.3255102015,0.011224488,-3,0.97794118,-0.03218041
0_55,0.55,22,5303,5432,66.2875,67.9,130,0.3142857135,0.011224488,-3,0.97744361,-0.03291462
0_55,0.55,23,5433,5560,67.9125,69.5,128,0.3030612255,0.0112244935,-2,0.98461538,-0.02236781
0_55,0.55,24,5561,5682,69.5125,71.025,122,0.291836732,0.011224488,-6,0.953125,-0.06926266
0_55,0.55,25,5683,5797,71.0375,72.4625,115,0.280612244,0.011224488,-7,0.94262295,-0.08524729
0_55,0.55,26,5798,5910,72.475,73.875,113,0.269387756,0.011224488,-2,0.9826087,-0.02531109
0_55,0.55,27,5911,6022,73.8875,75.275,112,0.258163268,0.0112244935,-1,0.99115044,-0.01282404
0_55,0.55,28,6023,6133,75.2875,76.6625,111,0.2469387745,0.011224488,-1,0.99107143,-0.01293906
0_55,0.55,29,6134,6242,76.675,78.025,109,0.2357142865,0.011224488,-2,0.98198198,-0.02623154
0_55,0.55,30,6243,6350,78.0375,79.375,108,0.2244897985,0.0112244935,-1,0.99082569,-0.01329682
0_55,0.55,31,6351,6457,79.3875,80.7125,107,0.213265305,0.011224488,-1,0.99074074,-0.01342052
0_55,0.55,32,6458,6564,80.725,82.05,107,0.202040817,0.011224488,0,1,0
0_55,0.55,33,6565,6669,82.0625,83.3625,105,0.190816329,0.0112244935,-2,0.98130841,-0.02722147
0_55,0.55,34,6670,6773,83.375,84.6625,104,0.1795918355,0.011224488,-1,0.99047619,-0.0138058
0_55,0.55,35,6774,6877,84.675,85.9625,104,0.1683673475,0.011224488,0,1,0
0_55,0.55,36,6878,6979,85.975,87.2375,102,0.1571428595,0.0112244935,-2,0.98076923,-0.02801438
0_55,0.55,37,6980,7081,87.25,88.5125,102,0.145918366,0.011224488,0,1,0
0_55,0.55,38,7082,7183,88.525,89.7875,102,0.134693878,0.011224488,0,1,0
0_55,0.55,39,7184,7283,89.8,91.0375,100,0.12346939,0.0112244935,-2,0.98039216,-0.02856915
0_55,0.55,40,7284,7383,91.05,92.2875,100,0.1122448965,0.011224488,0,1,0
0_55,0.55,41,7384,7483,92.3,93.5375,100,0.1010204085,0.011224488,0,1,0
0_55,0.55,42,7484,7582,93.55,94.775,99,0.0897959205,0.0112244935,-1,0.99,-0.01449957
0_55,0.55,43,7583,7680,94.7875,96,98,0.078571427,0.011224488,-1,0.98989899,-0.01464678
