file,roi_x,roi_y,roi_w,roi_h,scale,period_px,window_w_px,period_dip,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,103,1339,19437,0.45581706,0.16072813,182
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,104,1352,19403,0.45700246,0.16039759,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,105,1365,19395,0.45435381,0.16393231,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,106,1378,19381,0.45755339,0.16539289,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,107,1391,19407,0.45480313,0.16487428,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,108,1404,19424,0.45695245,0.1665549,189
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,109,1417,19462,0.45918631,0.16571128,182
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,110,1430,19437,0.46329563,0.16786168,182
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,111,1443,19444,0.46348714,0.16781382,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,112,1456,19436,0.46614492,0.16780898,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,113,1469,19421,0.46048027,0.16610851,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,114,1482,19375,0.45966956,0.16394573,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,115,1495,19372,0.45570672,0.16436885,188
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,116,1508,19403,0.45588394,0.16449938,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,117,1521,19406,0.45936334,0.1658746,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,118,1534,19384,0.45865801,0.167024,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,119,1547,19372,0.4600641,0.16666057,182
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,120,1560,19431,0.46309558,0.16884949,187
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,121,1573,19451,0.46424049,0.16738217,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,122,1586,19458,0.46340657,0.16686453,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,123,1599,19393,0.46351016,0.16760852,187
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,124,1612,19342,0.46129356,0.16747616,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,125,1625,19316,0.45578114,0.16443254,187
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,126,1638,19349,0.45685977,0.16285309,185
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,127,1651,19402,0.45737299,0.16112373,182
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,128,1664,19409,0.45465805,0.16290751,184
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,129,1677,19430,0.45475907,0.16167362,177
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,130,1690,19422,0.45015559,0.1608558,177
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,131,1703,19357,0.44913114,0.16205754,177
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,132,1716,19378,0.44953064,0.15985453,178
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,133,1729,19381,0.45097464,0.16029876,181
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,134,1742,19406,0.44902318,0.15862896,175
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,135,1755,19401,0.44624811,0.15652893,175
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,136,1768,19375,0.44243272,0.15445383,175
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,137,1781,19382,0.44211816,0.15122815,171
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,138,1794,19430,0.43736088,0.15075104,171
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,139,1807,19396,0.43701735,0.14983429,171
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,140,1820,19388,0.43015123,0.14816852,171
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,141,1833,19449,0.42992062,0.14848522,168
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,142,1846,19419,0.42659721,0.14758558,170
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,143,1859,19429,0.42662975,0.14670292,166
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,144,1872,19417,0.42474438,0.14642457,168
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,145,1885,19418,0.42260161,0.143669,165
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,146,1898,19390,0.41696952,0.14174615,165
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,147,1911,19375,0.41157418,0.13831974,165
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,148,1924,19392,0.40420775,0.13635482,162
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,149,1937,19416,0.40191216,0.13655218,162
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,150,1950,19449,0.39933575,0.13589899,162
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,151,1963,19429,0.39714416,0.13608528,158
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,152,1976,19413,0.39186116,0.13566701,158
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,153,1989,19398,0.39111812,0.1354764,153
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,154,2002,19430,0.38894003,0.13500015,153
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,155,2015,19409,0.38279749,0.13343261,153
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,156,2028,19347,0.37978427,0.13281592,153
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,157,2041,19368,0.37318985,0.12973447,153
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,158,2054,19315,0.36578332,0.12919583,148
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,159,2067,19375,0.36334187,0.1281006,148
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,160,2080,19393,0.36141522,0.12778732,148
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,161,2093,19421,0.35888882,0.12839763,144
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,162,2106,19392,0.35289454,0.12932554,148
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,163,2119,19431,0.34734024,0.12713257,141
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,164,2132,19393,0.34080555,0.12695118,144
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,165,2145,19392,0.33507819,0.12603141,141
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,166,2158,19370,0.33289394,0.1260439,144
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,167,2171,19374,0.32776296,0.12329766,141
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,168,2184,19412,0.32048603,0.11880644,136
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,169,2197,19347,0.31586013,0.12036872,136
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,170,2210,19397,0.31480015,0.12054931,136
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,171,2223,19430,0.31006609,0.11954881,136
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,172,2236,19406,0.30204414,0.12009934,136
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,173,2249,19408,0.29864432,0.11898648,133
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,174,2262,19395,0.28912281,0.11721801,133
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,175,2275,19323,0.28490732,0.11804879,127
