file,scale,period_px,period_dip,roi_x,roi_y,roi_w,roi_h,window_w_px,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,35,148,1225,0.10100867,0.04481866,45
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,36,152,1231,0.10652338,0.04548719,50
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,37,156,1233,0.11184955,0.0478103,50
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,38,160,1239,0.11606021,0.04873859,50
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,39,164,1235,0.12047511,0.04995352,55
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,40,168,1241,0.12234477,0.0495054,55
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,41,172,1245,0.12498429,0.05087081,55
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,42,176,1238,0.12823655,0.05016877,55
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,43,180,1240,0.13348416,0.05357148,60
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,44,184,1243,0.13730204,0.05590471,60
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,45,188,1237,0.14024007,0.05743789,60
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,46,192,1242,0.14320953,0.05744012,65
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,47,196,1244,0.14562908,0.05668826,65
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,48,200,1239,0.15324912,0.05877536,65
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,49,204,1246,0.15519734,0.05846895,65
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,50,208,1245,0.16205065,0.06170651,68
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,51,212,1246,0.16551031,0.06398288,68
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,52,216,1243,0.16884113,0.06566191,68
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,53,220,1246,0.1693596,0.06500793,70
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,54,224,1246,0.17423643,0.06786112,68
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,55,228,1239,0.17697021,0.06791238,70
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,56,232,1239,0.17866704,0.06784782,70
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,57,236,1240,0.18354072,0.06799478,73
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,58,240,1242,0.18547951,0.06870253,73
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,59,244,1238,0.18494218,0.06972458,73
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,60,248,1243,0.18789907,0.06902616,76
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,61,252,1241,0.18810332,0.06796805,76
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,62,256,1242,0.18963989,0.0695509,76
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,63,260,1239,0.18975616,0.07069066,76
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,64,264,1242,0.19292044,0.07179638,79
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,65,268,1244,0.1974359,0.07402934,79
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,66,272,1243,0.19359289,0.07234301,79
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,67,276,1231,0.19682944,0.07376427,79
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,68,280,1233,0.200773,0.07604556,79
