# source=kernel stair detail
# input_file=kernel-sweep-wide-count20.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_45,0.45,22,6362,6525,79.525,81.5625,164,0.18,0.0128571435,-2,0.98795181,-0.01748743
0_45,0.45,23,6526,6686,81.575,83.575,161,0.1671428565,0.0128571435,-3,0.98170732,-0.02663513
0_45,0.45,24,6687,6846,83.5875,85.575,160,0.154285713,0.0128571435,-1,0.99378882,-0.00898878
0_45,0.45,25,6847,7004,85.5875,87.55,158,0.1414285695,0.012857139,-2,0.9875,-0.01814735
0_45,0.45,26,7005,7160,87.5625,89.5,156,0.1285714305,0.0128571435,-2,0.98734177,-0.01837853
0_45,0.45,27,7161,7316,89.5125,91.45,156,0.115714287,0.0128571435,0,1,0
0_45,0.45,28,7317,7470,91.4625,93.375,154,0.1028571435,0.0128571435,-2,0.98717949,-0.01861568
0_45,0.45,29,7471,7622,93.3875,95.275,152,0.09,0.0128571435,-2,0.98701299,-0.01885903
0_45,0.45,30,7623,7774,95.2875,97.175,152,0.0771428565,0.0128571435,0,1,0
0_45,0.45,31,7775,7925,97.1875,99.0625,151,0.064285713,0.0128571435,-1,0.99342105,-0.00952277
0_45,0.45,32,7926,8000,99.075,100,75,0.0514285695,,-76,0.49668874,-1.00958605
0_5,0.5,1,0,58,0,0.725,59,0.5,0.01190476,,,
0_5,0.5,2,59,671,0.7375,8.3875,613,0.48809524,0.011904765,554,10.38983051,3.37710021
0_5,0.5,3,672,1285,8.4,16.0625,614,0.476190475,0.01190476,1,1.00163132,0.00235158
0_5,0.5,4,1286,1901,16.075,23.7625,616,0.464285715,0.011904765,2,1.00325733,0.0046917
0_5,0.5,5,1902,2519,23.775,31.4875,618,0.45238095,0.01190476,2,1.00324675,0.00467649
0_5,0.5,6,2520,3042,31.5,38.025,523,0.44047619,0.01190476,-95,0.84627832,-0.24079589
0_5,0.5,7,3043,3237,38.0375,40.4625,195,0.42857143,0.011904765,-328,0.37284895,-1.42333682
0_5,0.5,8,3238,3431,40.475,42.8875,194,0.416666665,0.01190476,-1,0.99487179,-0.00741747
0_5,0.5,9,3432,3625,42.9,45.3125,194,0.404761905,0.01190476,0,1,0
0_5,0.5,10,3626,3818,45.325,47.725,193,0.392857145,0.011904765,-1,0.99484536,-0.0074558
0_5,0.5,11,3819,4010,47.7375,50.125,192,0.38095238,0.01190476,-1,0.99481865,-0.00749454
0_5,0.5,12,4011,4201,50.1375,52.5125,191,0.36904762,0.011904765,-1,0.99479167,-0.00753367
0_5,0.5,13,4202,4392,52.525,54.9,191,0.357142855,0.01190476,0,1,0
0_5,0.5,14,4393,4579,54.9125,57.2375,187,0.345238095,0.01190476,-4,0.97905759,-0.03053437
0_5,0.5,15,4580,4758,57.25,59.475,179,0.333333335,0.011904765,-8,0.95721925,-0.06307868
0_5,0.5,16,4759,4932,59.4875,61.65,174,0.32142857,0.01190476,-5,0.97206704,-0.04087228
0_5,0.5,17,4933,5100,61.6625,63.75,168,0.30952381,0.01190476,-6,0.96551724,-0.05062607
0_5,0.5,18,5101,5263,63.7625,65.7875,163,0.29761905,0.011904765,-5,0.9702381,-0.04358927
0_5,0.5,19,5264,5422,65.8,67.775,159,0.285714285,0.01190476,-4,0.97546012,-0.0358452
0_5,0.5,20,5423,5577,67.7875,69.7125,155,0.273809525,0.011904765,-4,0.97484277,-0.03675855
0_5,0.5,21,5578,5723,69.725,71.5375,146,0.26190476,0.01190476,-9,0.94193548,-0.08629985
0_5,0.5,22,5724,5863,71.55,73.2875,140,0.25,0.01190476,-6,0.95890411,-0.06054154
0_5,0.5,23,5864,6001,73.3,75.0125,138,0.23809524,0.011904765,-2,0.98571429,-0.02075856
0_5,0.5,24,6002,6137,75.025,76.7125,136,0.226190475,0.01190476,-2,0.98550725,-0.02106162
0_5,0.5,25,6138,6271,76.725,78.3875,134,0.214285715,0.011904765,-2,0.98529412,-0.02137365
0_5,0.5,26,6272,6403,78.4,80.0375,132,0.20238095,0.01190476,-2,0.98507463,-0.02169507
0_5,0.5,27,6404,6534,80.05,81.675,131,0.19047619,0.01190476,-1,0.99242424,-0.01097112
0_5,0.5,28,6535,6664,81.6875,83.3,130,0.17857143,0.011904765,-1,0.99236641,-0.01105519
0_5,0.5,29,6665,6792,83.3125,84.9,128,0.166666665,0.01190476,-2,0.98461538,-0.02236781
0_5,0.5,30,6793,6919,84.9125,86.4875,127,0.154761905,0.01190476,-1,0.9921875,-0.01131531
0_5,0.5,31,6920,7045,86.5,88.0625,126,0.142857145,0.011904765,-1,0.99212598,-0.01140476
0_5,0.5,32,7046,7170,88.075,89.625,125,0.13095238,0.01190476,-1,0.99206349,-0.01149564
0_5,0.5,33,7171,7294,89.6375,91.175,124,0.11904762,0.011904765,-1,0.992,-0.01158797
0_5,0.5,34,7295,7417,91.1875,92.7125,123,0.107142855,0.01190476,-1,0.99193548,-0.01168181
0_5,0.5,35,7418,7540,92.725,94.25,123,0.095238095,0.01190476,0,1,0
0_5,0.5,36,7541,7662,94.2625,95.775,122,0.083333335,0.011904765,-1,0.99186992,-0.01177717
0_5,0.5,37,7663,7783,95.7875,97.2875,121,0.07142857,0.01190476,-1,0.99180328,-0.0118741
0_5,0.5,38,7784,7903,97.3,98.7875,120,0.05952381,0.01190476,-1,0.99173554,-0.01197264
0_5,0.5,39,7904,8000,98.8,100,97,0.04761905,,-23,0.80833333,-0.30697775
0_55,0.55,1,0,425,0,5.3125,426,0.55,0.011224488,,,
0_55,0.55,2,426,949,5.325,11.8625,524,0.538775512,0.0112244935,98,1.23004695,0.29871338
0_55,0.55,3,950,1474,11.875,18.425,525,0.5275510185,0.011224488,1,1.0019084,0.00275061
0_55,0.55,4,1475,1999,18.4375,24.9875,525,0.5163265305,0.011224488,0,1,0
0_55,0.55,5,2000,2525,25,31.5625,526,0.5051020425,0.0112244935,1,1.00190476,0.00274538
0_55,0.55,6,2526,3015,31.575,37.6875,490,0.493877549,0.011224488,-36,0.93155894,-0.10228105
0_55,0.55,7,3016,3177,37.7,39.7125,162,0.482653061,0.011224488,-328,0.33061224,-1.59678794
0_55,0.55,8,3178,3338,39.725,41.725,161,0.471428573,0.0112244935,-1,0.99382716,-0.00893312
0_55,0.55,9,3339,3499,41.7375,43.7375,161,0.4602040795,0.011224488,0,1,0
0_55,0.55,10,3500,3659,43.75,45.7375,160,0.4489795915,0.011224488,-1,0.99378882,-0.00898878
0_55,0.55,11,3660,3818,45.75,47.725,159,0.4377551035,0.0112244935,-1,0.99375,-0.00904514
0_55,0.55,12,3819,3977,47.7375,49.7125,159,0.42653061,0.011224488,0,1,0
0_55,0.55,13,3978,4135,49.725,51.6875,158,0.415306122,0.011224488,-1,0.99371069,-0.00910221
0_55,0.55,14,4136,4292,51.7,53.65,157,0.404081634,0.0112244935,-1,0.99367089,-0.00916
0_55,0.55,15,4293,4449,53.6625,55.6125,157,0.3928571405,0.011224488,0,1,0
0_55,0.55,16,4450,4602,55.625,57.525,153,0.3816326525,0.011224488,-4,0.97452229,-0.03723291
0_55,0.55,17,4603,4749,57.5375,59.3625,147,0.3704081645,0.0112244935,-6,0.96078431,-0.0577155
0_55,0.55,18,4750,4893,59.375,61.1625,144,0.359183671,0.011224488,-3,0.97959184,-0.02974734
0_55,0.55,19,4894,5033,61.175,62.9125,140,0.347959183,0.011224488,-4,0.97222222,-0.04064198
0_55,0.55,20,5034,5169,62.925,64.6125,136,0.336734695,0.0112244935,-4,0.97142857,-0.04182018
0_55,0.55,21,5170,5302,64.625,66.275,133,0.3255102015,0.011224488,-3,0.97794118,-0.03218041
0_55,0.55,22,5303,5432,66.2875,67.9,130,0.3142857135,0.011224488,-3,0.97744361,-0.03291462
0_55,0.55,23,5433,5560,67.9125,69.5,128,0.3030612255,0.0112244935,-2,0.98461538,-0.02236781
0_55,0.55,24,5561,5682,69.5125,71.025,122,0.291836732,0.011224488,-6,0.953125,-0.06926266
