# source=InkDrawGen generated dot obs=1414_989 canvas=5 pressure=0.3 opacity=1
# size=200
# scale=80
# angle_step_deg=1
# angle_count=360
# paper_tile=NoiseTile-angle1-maxr8000-canvas5-papertile-seed1414_988-S200-P1.0-Op1-scale80-start22_22-size3482x3482.png
# obs_seed_px=1414,988
# obs_paper_tile_px=1414,989
# obs_actual_px=1414,989
# obs_window_px=9
# p_sweep_count=10
# zero_policy=keep_zero_as_missing, no_interpolation
# aggregate=median
r_px,r_norm,kernel01,valid_angle_count,mean01,min01,max01,stddev01
488,6.1,1,360,1,1,1,0
489,6.1125,1,360,1,1,1,0
490,6.125,1,360,1,1,1,0
491,6.1375,1,360,1,1,1,0
492,6.15,1,360,1,1,1,0
493,6.1625,1,360,1,1,1,0
494,6.175,1,360,1,1,1,0
495,6.1875,1,360,1,1,1,0
496,6.2,1,360,1,1,1,0
497,6.2125,1,360,1,1,1,0
498,6.225,1,360,1,1,1,0
499,6.2375,1,360,1,1,1,0
500,6.25,1,360,1,1,1,0
501,6.2625,1,360,1,1,1,0
502,6.275,1,360,1,1,1,0
503,6.2875,1,360,1,1,1,0
504,6.3,1,360,1,1,1,0
505,6.3125,1,360,1,1,1,0
506,6.325,1,360,1,1,1,0
507,6.3375,1,360,1,1,1,0
508,6.35,1,360,1,1,1,0
509,6.3625,1,360,1,1,1,0
510,6.375,1,360,1,1,1,0
511,6.3875,1,360,1,1,1,0
512,6.4,1,360,1,1,1,0
513,6.4125,1,360,1,1,1,0
514,6.425,1,360,1,1,1,0
515,6.4375,1,360,1,1,1,0
516,6.45,1,360,1,1,1,0
517,6.4625,1,360,1,1,1,0
518,6.475,1,360,1,1,1,0
519,6.4875,1,360,1,1,1,0
520,6.5,1,360,1,1,1,0
521,6.5125,1,360,1,1,1,0
522,6.525,1,360,1,1,1,0
523,6.5375,1,360,1,1,1,0
524,6.55,1,360,1,1,1,0
525,6.5625,1,360,1,1,1,0
526,6.575,1,360,1,1,1,0
527,6.5875,1,360,1,1,1,0
528,6.6,1,360,1,1,1,0
529,6.6125,1,360,1,1,1,0
530,6.625,1,360,1,1,1,0
531,6.6375,1,360,1,1,1,0
532,6.65,1,360,1,1,1,0
533,6.6625,1,360,1,1,1,0
534,6.675,1,360,1,1,1,0
535,6.6875,1,360,1,1,1,0
536,6.7,1,360,1,1,1,0
537,6.7125,1,360,1,1,1,0
538,6.725,1,360,1,1,1,0
539,6.7375,1,360,1,1,1,0
540,6.75,1,360,1,1,1,0
541,6.7625,1,360,1,1,1,0
542,6.775,1,360,1,1,1,0
543,6.7875,1,360,1,1,1,0
544,6.8,1,360,1,1,1,0
545,6.8125,1,360,1,1,1,0
546,6.825,1,360,1,1,1,0
547,6.8375,1,360,1,1,1,0
548,6.85,1,360,1,1,1,0
549,6.8625,1,360,1,1,1,0
550,6.875,1,360,1,1,1,0
551,6.8875,1,360,1,1,1,0
552,6.9,1,360,1,1,1,0
553,6.9125,1,360,1,1,1,0
554,6.925,1,360,1,1,1,0
555,6.9375,1,360,1,1,1,0
556,6.95,1,360,1,1,1,0
557,6.9625,1,360,1,1,1,0
558,6.975,1,360,1,1,1,0
559,6.9875,1,360,1,1,1,0
560,7,1,360,1,1,1,0
561,7.0125,1,360,1,1,1,0
562,7.025,1,360,1,1,1,0
563,7.0375,1,360,1,1,1,0
564,7.05,1,360,1,1,1,0
565,7.0625,1,360,1,1,1,0
566,7.075,1,360,1,1,1,0
567,7.0875,1,360,1,1,1,0
568,7.1,1,360,1,1,1,0
569,7.1125,1,360,1,1,1,0
570,7.125,1,360,1,1,1,0
571,7.1375,1,360,1,1,1,0
572,7.15,1,360,1,1,1,0
573,7.1625,1,360,1,1,1,0
574,7.175,1,360,1,1,1,0
575,7.1875,1,360,1,1,1,0
576,7.2,1,360,1,1,1,0
577,7.2125,1,360,1,1,1,0
578,7.225,1,360,1,1,1,0
579,7.2375,1,360,1,1,1,0
580,7.25,1,360,1,1,1,0
581,7.2625,1,360,1,1,1,0
582,7.275,1,360,1,1,1,0
583,7.2875,1,360,1,1,1,0
584,7.3,1,360,1,1,1,0
585,7.3125,1,360,1,1,1,0
586,7.325,1,360,1,1,1,0
587,7.3375,1,360,1,1,1,0
588,7.35,1,360,1,1,1,0
589,7.3625,1,360,1,1,1,0
590,7.375,1,360,1,1,1,0
591,7.3875,1,360,1,1,1,0
592,7.4,1,360,1,1,1,0
593,7.4125,1,360,1,1,1,0
594,7.425,1,360,1,1,1,0
595,7.4375,1,360,1,1,1,0
596,7.45,1,360,1,1,1,0
597,7.4625,1,360,1,1,1,0
598,7.475,1,360,1,1,1,0
599,7.4875,1,360,1,1,1,0
600,7.5,1,360,1,1,1,0
601,7.5125,1,360,1,1,1,0
602,7.525,1,360,1,1,1,0
603,7.5375,1,360,1,1,1,0
604,7.55,1,360,1,1,1,0
605,7.5625,1,360,1,1,1,0
606,7.575,1,360,1,1,1,0
607,7.5875,1,360,1,1,1,0
608,7.6,1,360,1,1,1,0
609,7.6125,1,360,1,1,1,0
610,7.625,1,360,1,1,1,0
611,7.6375,1,360,1,1,1,0
612,7.65,1,360,1,1,1,0
613,7.6625,1,360,1,1,1,0
614,7.675,1,360,1,1,1,0
615,7.6875,1,360,1,1,1,0
616,7.7,1,360,1,1,1,0
617,7.7125,1,360,1,1,1,0
618,7.725,1,360,1,1,1,0
619,7.7375,1,360,1,1,1,0
620,7.75,1,360,1,1,1,0
621,7.7625,1,360,1,1,1,0
622,7.775,1,360,1,1,1,0
623,7.7875,1,360,1,1,1,0
624,7.8,1,360,1,1,1,0
625,7.8125,1,360,1,1,1,0
626,7.825,1,360,1,1,1,0
627,7.8375,1,360,1,1,1,0
628,7.85,1,360,1,1,1,0
629,7.8625,1,360,1,1,1,0
630,7.875,1,360,1,1,1,0
631,7.8875,1,360,1,1,1,0
632,7.9,1,360,1,1,1,0
633,7.9125,1,360,1,1,1,0
634,7.925,1,360,1,1,1,0
635,7.9375,1,360,1,1,1,0
636,7.95,1,360,1,1,1,0
637,7.9625,1,360,1,1,1,0
638,7.975,1,360,1,1,1,0
639,7.9875,1,360,1,1,1,0
640,8,1,360,1,1,1,0
641,8.0125,1,360,1,1,1,0
642,8.025,1,360,1,1,1,0
643,8.0375,1,360,1,1,1,0
644,8.05,1,360,1,1,1,0
645,8.0625,1,360,1,1,1,0
646,8.075,1,360,1,1,1,0
647,8.0875,1,360,1,1,1,0
648,8.1,1,360,1,1,1,0
649,8.1125,1,360,1,1,1,0
650,8.125,1,360,1,1,1,0
651,8.1375,1,360,1,1,1,0
652,8.15,1,360,1,1,1,0
653,8.1625,1,360,1,1,1,0
654,8.175,1,360,1,1,1,0
655,8.1875,1,360,1,1,1,0
656,8.2,1,360,1,1,1,0
657,8.2125,1,360,1,1,1,0
658,8.225,1,360,1,1,1,0
659,8.2375,1,360,1,1,1,0
660,8.25,1,360,1,1,1,0
661,8.2625,1,360,1,1,1,0
662,8.275,1,360,1,1,1,0
663,8.2875,1,360,1,1,1,0
664,8.3,1,360,1,1,1,0
665,8.3125,1,360,1,1,1,0
666,8.325,1,360,1,1,1,0
667,8.3375,1,360,1,1,1,0
668,8.35,1,360,1,1,1,0
669,8.3625,1,360,1,1,1,0
670,8.375,1,360,1,1,1,0
671,8.3875,1,360,1,1,1,0
672,8.4,1,360,1,1,1,0
673,8.4125,1,360,1,1,1,0
674,8.425,1,360,1,1,1,0
675,8.4375,1,360,1,1,1,0
676,8.45,1,360,1,1,1,0
677,8.4625,1,360,1,1,1,0
678,8.475,1,360,1,1,1,0
679,8.4875,1,360,1,1,1,0
680,8.5,1,360,1,1,1,0
681,8.5125,1,360,1,1,1,0
682,8.525,1,360,1,1,1,0
683,8.5375,1,360,1,1,1,0
684,8.55,1,360,1,1,1,0
685,8.5625,1,360,1,1,1,0
