S,P,N,center_alpha
8,0.1,3,0.09215686
8,0.1,4,0.11960784
8,0.1,5,0.14705882
8,0.1,6,0.1745098
8,0.1,7,0.2
8,0.1,8,0.2254902
8,0.1,9,0.25098039
8,0.1,10,0.27254902
8,0.1,15,0.37843137
8,0.1,20,0.46862745
8,0.1,25,0.54705882
8,0.1,50,0.79215686
8,0.1,75,0.90196078
8,0.1,100,0.9372549
8,0.25,1,0.1
8,0.25,2,0.18921569
8,0.25,3,0.26960784
8,0.25,4,0.34215686
8,0.25,5,0.40686275
8,0.25,6,0.46470588
8,0.25,7,0.51764706
8,0.25,8,0.56568627
8,0.25,9,0.60882353
8,0.25,10,0.64803922
8,0.25,15,0.79019608
8,0.25,20,0.8754902
8,0.25,25,0.9254902
8,0.25,50,0.98235294
8,0.25,75,0.98235294
8,0.25,100,0.98235294
8,0.5,1,0.25588235
8,0.5,2,0.44509804
8,0.5,3,0.58627451
8,0.5,4,0.69117647
8,0.5,5,0.76960784
8,0.5,6,0.82745098
8,0.5,7,0.87058824
8,0.5,8,0.90392157
8,0.5,9,0.92843137
8,0.5,10,0.94607843
8,0.5,15,0.9872549
8,0.5,20,0.99411765
8,0.5,25,0.99411765
8,0.5,50,0.99411765
8,0.5,75,0.99411765
8,0.5,100,0.99411765
8,0.65,1,0.3627451
8,0.65,2,0.59313725
8,0.65,3,0.74019608
8,0.65,4,0.83333333
8,0.65,5,0.89313725
8,0.65,6,0.93137255
8,0.65,7,0.95588235
8,0.65,8,0.97156863
8,0.65,9,0.98137255
8,0.65,10,0.9872549
8,0.65,15,0.99607843
8,0.65,20,0.99607843
8,0.65,25,0.99607843
8,0.65,50,0.99607843
8,0.65,75,0.99607843
8,0.65,100,0.99607843
8,0.77,1,0.44705882
8,0.77,2,0.69313725
8,0.77,3,0.82941176
8,0.77,4,0.90490196
8,0.77,5,0.94705882
8,0.77,6,0.96862745
8,0.77,7,0.98235294
8,0.77,8,0.98921569
8,0.77,9,0.99411765
8,0.77,10,0.99607843
8,0.77,15,0.99607843
8,0.77,20,0.99607843
8,0.77,25,0.99607843
8,0.77,50,0.99607843
8,0.77,75,0.99607843
8,0.77,100,0.99607843
8,0.85,1,0.50196078
8,0.85,2,0.75098039
8,0.85,3,0.8754902
8,0.85,4,0.9372549
8,0.85,5,0.96862745
8,0.85,6,0.98431373
8,0.85,7,0.99215686
8,0.85,8,0.99607843
8,0.85,9,0.99803922
8,0.85,10,0.99803922
8,0.85,15,0.99803922
8,0.85,20,0.99803922
8,0.85,25,0.99803922
8,0.85,50,0.99803922
8,0.85,75,0.99803922
8,0.85,100,0.99803922
8,1,1,0.59901961
8,1,2,0.83921569
8,1,3,0.93529412
8,1,4,0.97352941
8,1,5,0.99019608
8,1,6,0.99607843
8,1,7,0.99901961
8,1,8,1
8,1,9,1
8,1,10,1
8,1,15,1
8,1,20,1
8,1,25,1
8,1,50,1
8,1,75,1
8,1,100,1
10,0.05,1,0.01176471
10,0.05,2,0.02352941
10,0.05,3,0.03529412
10,0.05,4,0.04705882
10,0.05,5,0.05882353
10,0.05,6,0.07058824
10,0.05,7,0.08235294
10,0.05,8,0.09411765
10,0.05,9,0.10588235
10,0.05,10,0.11764706
10,0.05,15,0.17647059
10,0.05,20,0.21568627
10,0.05,25,0.25490196
10,0.05,50,0.45098039
10,0.05,75,0.57647059
10,0.05,100,0.6745098
10,0.1,1,0.0254902
10,0.1,2,0.05098039
10,0.1,3,0.07647059
