S,P,N,a_r0,a_r1,a_r2,a_r3,a_r4,a_r5,a_r6,a_r12,a_r25,a_r50,a_r75,a_r100
4,0.85,25,0.99411765,0.5995098,0.04941176,0,0,0,0,0,0,0,0,0
4,0.85,50,0.99411765,0.61862745,0.04941176,0,0,0,0,0,0,0,0,0
4,0.85,75,0.99411765,0.61862745,0.04941176,0,0,0,0,0,0,0,0,0
4,0.85,100,0.99411765,0.61862745,0.04941176,0,0,0,0,0,0,0,0,0
4,1,1,0.50392157,0.20490196,0.01196078,0,0,0,0,0,0,0,0,0
4,1,2,0.74313725,0.32892157,0.02098039,0,0,0,0,0,0,0,0,0
4,1,3,0.86176471,0.40441176,0.02803922,0,0,0,0,0,0,0,0,0
4,1,4,0.92352941,0.45441176,0.03333333,0,0,0,0,0,0,0,0,0
4,1,5,0.95882353,0.48823529,0.03745098,0,0,0,0,0,0,0,0,0
4,1,6,0.9754902,0.51127451,0.04039216,0,0,0,0,0,0,0,0,0
4,1,7,0.98529412,0.52843137,0.04254902,0,0,0,0,0,0,0,0,0
4,1,8,0.99019608,0.54117647,0.0445098,0,0,0,0,0,0,0,0,0
4,1,9,0.99313725,0.55098039,0.04588235,0,0,0,0,0,0,0,0,0
4,1,10,0.99509804,0.55833333,0.04686275,0,0,0,0,0,0,0,0,0
4,1,15,0.99509804,0.58235294,0.04921569,0,0,0,0,0,0,0,0,0
4,1,20,0.99509804,0.59558824,0.04960784,0,0,0,0,0,0,0,0,0
4,1,25,0.99509804,0.60392157,0.04960784,0,0,0,0,0,0,0,0,0
4,1,50,0.99509804,0.61911765,0.04960784,0,0,0,0,0,0,0,0,0
4,1,75,0.99509804,0.61911765,0.04960784,0,0,0,0,0,0,0,0,0
4,1,100,0.99509804,0.61911765,0.04960784,0,0,0,0,0,0,0,0,0
5,0.05,1,0.0254902,0.01519608,0.00196078,0,0,0,0,0,0,0,0,0
5,0.05,2,0.05098039,0.03039216,0.00392157,0,0,0,0,0,0,0,0,0
5,0.05,3,0.07647059,0.04558824,0.00588235,0,0,0,0,0,0,0,0,0
5,0.05,4,0.10196078,0.06078431,0.00784314,0,0,0,0,0,0,0,0,0
5,0.05,5,0.12352941,0.07598039,0.00980392,0,0,0,0,0,0,0,0,0
5,0.05,6,0.14509804,0.09068627,0.01176471,0,0,0,0,0,0,0,0,0
5,0.05,7,0.16666667,0.10490196,0.01372549,0,0,0,0,0,0,0,0,0
5,0.05,8,0.18823529,0.11862745,0.01568627,0,0,0,0,0,0,0,0,0
5,0.05,9,0.20980392,0.13186275,0.01764706,0,0,0,0,0,0,0,0,0
5,0.05,10,0.22941176,0.14509804,0.01960784,0,0,0,0,0,0,0,0,0
5,0.05,15,0.3254902,0.21127451,0.02941176,0,0,0,0,0,0,0,0,0
5,0.05,20,0.39411765,0.26813725,0.03921569,0,0,0,0,0,0,0,0,0
5,0.05,25,0.4627451,0.31813725,0.04843137,0,0,0,0,0,0,0,0,0
5,0.05,50,0.7,0.52303922,0.09254902,0,0,0,0,0,0,0,0,0
5,0.05,75,0.83137255,0.66519608,0.12803922,0,0,0,0,0,0,0,0,0
5,0.05,100,0.85686275,0.6995098,0.15745098,0,0,0,0,0,0,0,0,0
5,0.1,1,0.05784314,0.02892157,0.00372549,0,0,0,0,0,0,0,0,0
5,0.1,2,0.11176471,0.05686275,0.00745098,0,0,0,0,0,0,0,0,0
5,0.1,3,0.16078431,0.08382353,0.01117647,0,0,0,0,0,0,0,0,0
5,0.1,4,0.20686275,0.10980392,0.01490196,0,0,0,0,0,0,0,0,0
5,0.1,5,0.25,0.13431373,0.01843137,0,0,0,0,0,0,0,0,0
5,0.1,6,0.29313725,0.15735294,0.02176471,0,0,0,0,0,0,0,0,0
5,0.1,7,0.33333333,0.17990196,0.02509804,0,0,0,0,0,0,0,0,0
5,0.1,8,0.37058824,0.20196078,0.02843137,0,0,0,0,0,0,0,0,0
5,0.1,9,0.40490196,0.22352941,0.03176471,0,0,0,0,0,0,0,0,0
5,0.1,10,0.43627451,0.24460784,0.03509804,0,0,0,0,0,0,0,0,0
5,0.1,15,0.57352941,0.33480392,0.05039216,0,0,0,0,0,0,0,0,0
5,0.1,20,0.6754902,0.41176471,0.06509804,0,0,0,0,0,0,0,0,0
5,0.1,25,0.75294118,0.475,0.07843137,0,0,0,0,0,0,0,0,0
5,0.1,50,0.9245098,0.68235294,0.13215686,0,0,0,0,0,0,0,0,0
5,0.1,75,0.93529412,0.75686275,0.16745098,0,0,0,0,0,0,0,0,0
5,0.1,100,0.93529412,0.79362745,0.19196078,0,0,0,0,0,0,0,0,0
5,0.25,1,0.16960784,0.08382353,0.00921569,0,0,0,0,0,0,0,0,0
