p_header, p_value, plateau_index, start_r_px, end_r_px, start_r_norm, end_r_norm, tread_px, level_eff01, riser_to_next01, delta_tread_to_prev, tread_ratio_to_prev, log2_tread_ratio_to_prev
0_5     ,     0.5,             7,       3043,     3237,      38.0375,    40.4625,      195, 0.42857143 ,     0.011904765, -328               ,          0.37284895, -1.42333682
0_5     ,     0.5,             8,       3238,     3431,      40.475 ,    42.8875,      194, 0.416666665,     0.01190476 , -1                 ,          0.99487179, -0.00741747
0_5     ,     0.5,             9,       3432,     3625,      42.9   ,    45.3125,      194, 0.404761905,     0.01190476 , 0                  ,          1         , 0
0_5     ,     0.5,            10,       3626,     3818,      45.325 ,    47.725 ,      193, 0.392857145,     0.011904765, -1                 ,          0.99484536, -0.0074558
0_5     ,     0.5,            11,       3819,     4010,      47.7375,    50.125 ,      192, 0.38095238 ,     0.01190476 , -1                 ,          0.99481865, -0.00749454
0_5     ,     0.5,            12,       4011,     4201,      50.1375,    52.5125,      191, 0.36904762 ,     0.011904765, -1                 ,          0.99479167, -0.00753367
0_5     ,     0.5,            13,       4202,     4392,      52.525 ,    54.9   ,      191, 0.357142855,     0.01190476 , 0                  ,          1         , 0
0_5     ,     0.5,            14,       4393,     4579,      54.9125,    57.2375,      187, 0.345238095,     0.01190476 , -4                 ,          0.97905759, -0.03053437
0_5     ,     0.5,            15,       4580,     4758,      57.25  ,    59.475 ,      179, 0.333333335,     0.011904765, -8                 ,          0.95721925, -0.06307868
0_5     ,     0.5,            16,       4759,     4932,      59.4875,    61.65  ,      174, 0.32142857 ,     0.01190476 , -5                 ,          0.97206704, -0.04087228
0_5     ,     0.5,            17,       4933,     5100,      61.6625,    63.75  ,      168, 0.30952381 ,     0.01190476 , -6                 ,          0.96551724, -0.05062607
0_5     ,     0.5,            18,       5101,     5263,      63.7625,    65.7875,      163, 0.29761905 ,     0.011904765, -5                 ,          0.9702381 , -0.04358927
0_5     ,     0.5,            19,       5264,     5422,      65.8   ,    67.775 ,      159, 0.285714285,     0.01190476 , -4                 ,          0.97546012, -0.0358452
0_5     ,     0.5,            20,       5423,     5577,      67.7875,    69.7125,      155, 0.273809525,     0.011904765, -4                 ,          0.97484277, -0.03675855
0_5     ,     0.5,            21,       5578,     5723,      69.725 ,    71.5375,      146, 0.26190476 ,     0.01190476 , -9                 ,          0.94193548, -0.08629985
0_5     ,     0.5,            22,       5724,     5863,      71.55  ,    73.2875,      140, 0.25       ,     0.01190476 , -6                 ,          0.95890411, -0.06054154
0_5     ,     0.5,            23,       5864,     6001,      73.3   ,    75.0125,      138, 0.23809524 ,     0.011904765, -2                 ,          0.98571429, -0.02075856
0_5     ,     0.5,            24,       6002,     6137,      75.025 ,    76.7125,      136, 0.226190475,     0.01190476 , -2                 ,          0.98550725, -0.02106162
0_5     ,     0.5,            25,       6138,     6271,      76.725 ,    78.3875,      134, 0.214285715,     0.011904765, -2                 ,          0.98529412, -0.02137365
0_5     ,     0.5,            26,       6272,     6403,      78.4   ,    80.0375,      132, 0.20238095 ,     0.01190476 , -2                 ,          0.98507463, -0.02169507
0_5     ,     0.5,            27,       6404,     6534,      80.05  ,    81.675 ,      131, 0.19047619 ,     0.01190476 , -1                 ,          0.99242424, -0.01097112
0_5     ,     0.5,            28,       6535,     6664,      81.6875,    83.3   ,      130, 0.17857143 ,     0.011904765, -1                 ,          0.99236641, -0.01105519
0_5     ,     0.5,            29,       6665,     6792,      83.3125,    84.9   ,      128, 0.166666665,     0.01190476 , -2                 ,          0.98461538, -0.02236781
0_5     ,     0.5,            30,       6793,     6919,      84.9125,    86.4875,      127, 0.154761905,     0.01190476 , -1                 ,          0.9921875 , -0.01131531
0_5     ,     0.5,            31,       6920,     7045,      86.5   ,    88.0625,      126, 0.142857145,     0.011904765, -1                 ,          0.99212598, -0.01140476
0_5     ,     0.5,            32,       7046,     7170,      88.075 ,    89.625 ,      125, 0.13095238 ,     0.01190476 , -1                 ,          0.99206349, -0.01149564
0_5     ,     0.5,            33,       7171,     7294,      89.6375,    91.175 ,      124, 0.11904762 ,     0.011904765, -1                 ,          0.992     , -0.01158797
0_5     ,     0.5,            34,       7295,     7417,      91.1875,    92.7125,      123, 0.107142855,     0.01190476 , -1                 ,          0.99193548, -0.01168181
0_5     ,     0.5,            35,       7418,     7540,      92.725 ,    94.25  ,      123, 0.095238095,     0.01190476 , 0                  ,          1         , 0
0_5     ,     0.5,            36,       7541,     7662,      94.2625,    95.775 ,      122, 0.083333335,     0.011904765, -1                 ,          0.99186992, -0.01177717
0_5     ,     0.5,            37,       7663,     7783,      95.7875,    97.2875,      121, 0.07142857 ,     0.01190476 , -1                 ,          0.99180328, -0.0118741
0_5     ,     0.5,            38,       7784,     7903,      97.3   ,    98.7875,      120, 0.05952381 ,     0.01190476 , -1                 ,          0.99173554, -0.01197264
0_5     ,     0.5,            39,       7904,     8000,      98.8   ,   100     ,       97, 0.04761905 ,                , -23                ,          0.80833333, -0.30697775
0_6     ,     0.6,             1,          0,      150,       0     ,     1.875 ,      151, 0.6        ,     0.010344828,                    ,                    , 
0_6     ,     0.6,             2,        151,      604,       1.8875,     7.55  ,      454, 0.589655172,     0.010344828, 303                ,          3.00662252, 1.58814375
0_6     ,     0.6,             3,        605,     1059,       7.5625,    13.2375,      455, 0.579310344,     0.010344828, 1                  ,          1.00220264, 0.00317425
0_6     ,     0.6,             4,       1060,     1513,      13.25  ,    18.9125,      454, 0.568965516,     0.010344828, -1                 ,          0.9978022 , -0.00317425
0_6     ,     0.6,             5,       1514,     1968,      18.925 ,    24.6   ,      455, 0.558620688,     0.010344828, 1                  ,          1.00220264, 0.00317425
0_6     ,     0.6,             6,       1969,     2422,      24.6125,    30.275 ,      454, 0.54827586 ,     0.010344828, -1                 ,          0.9978022 , -0.00317425
0_6     ,     0.6,             7,       2423,     2876,      30.2875,    35.95  ,      454, 0.537931032,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,             8,       2877,     3099,      35.9625,    38.7375,      223, 0.527586204,     0.010344822, -231               ,          0.49118943, -1.02564859
0_6     ,     0.6,             9,       3100,     3235,      38.75  ,    40.4375,      136, 0.517241382,     0.010344828, -87                ,          0.60986547, -0.71343706
